,make,model,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain
0,Jeep,Wagoneer,2024,74600,24V GDI DOHC Twin Turbo,6,Gasoline,10,8-Speed Automatic,Series II,SUV,4,White,Global Black,Four-wheel Drive
1,Jeep,Grand Cherokee,2024,50170,OHV,6,Gasoline,1,8-Speed Automatic,Laredo,SUV,4,Metallic,Global Black,Four-wheel Drive
3,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,32,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
4,RAM,3500,2024,81663,24V DDI OHV Turbo Diesel,6,Diesel,10,6-Speed Automatic,Laramie,Pickup Truck,4,Silver,Black,Four-wheel Drive
5,Nissan,Murano,2024,46000,24V MPFI DOHC,6,Gasoline,3838,Automatic CVT,Platinum,SUV,4,White,Gray,All-wheel Drive
6,Jeep,Wagoneer,2024,63862,24V GDI DOHC Twin Turbo,6,Gasoline,5,8-Speed Automatic,Base,SUV,4,Bright White Clearcoat,Black,Rear-wheel Drive
7,Ford,F-350,2024,89978,32V DDI OHV Turbo Diesel,8,Diesel,15,10-Speed Automatic,Lariat Super Duty,Pickup Truck,4,Carbonized Gray Metallic,Black Onyx,Four-wheel Drive
9,Jeep,Grand Cherokee,2024,42773,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,20,Automatic,Altitude,SUV,4,Silver Zynith,Global Black,Four-wheel Drive
10,Jeep,Compass,2024,37743,16V GDI DOHC Turbo,4,Gasoline,0,8-Speed Automatic,Latitude,SUV,4,Metallic,Black,Four-wheel Drive
11,RAM,3500,2024,60904,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,532,Automatic,Tradesman,Pickup Truck,4,Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive
12,Hyundai,Santa Cruz,2024,43419,16V PDI DOHC Turbo,4,Gasoline,1,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,4,Atlas,Dark Gray,All-wheel Drive
13,Jeep,Grand Cherokee,2024,44022,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,12,Automatic,Altitude,SUV,4,Baltic Gray Metallic Clearcoat,Global Black,Four-wheel Drive
15,Hyundai,Santa Cruz,2024,38574,16V PDI DOHC Turbo,4,Gasoline,12,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4,Blue Stone,Black,All-wheel Drive
16,Nissan,Murano,2024,48000,24V MPFI DOHC,6,Gasoline,87,Automatic CVT,Platinum,SUV,4,Deep Ocean Blue,Beige,All-wheel Drive
17,Ford,Explorer,2024,53190,16V GDI DOHC Turbo,4,Gasoline,15,10-Speed Automatic,Timberline,SUV,4,Star White,Ebony,Four-wheel Drive
18,Volkswagen,Taos,2024,32751,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,25,7-Speed DSG Automatic with Tiptronic,1.5T SE,SUV,4,Blue,Black Cloud,All-wheel Drive
19,Volkswagen,Jetta,2024,24348,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,13,8-Speed Automatic with Tiptronic,1.4T S,Sedan,4,Pyrite Silver Metallic,Titan Black,Front-wheel Drive
20,RAM,3500,2024,65221,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,344,Automatic,Tradesman,Pickup Truck,4,Bright White Clearcoat,Black,Four-wheel Drive
21,Dodge,Hornet,2024,39491,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,6-Speed Automatic,R/T,SUV,4,HOT TAMALE,Black,All-wheel Drive
22,Hyundai,Tucson,2024,30305,16V PDI DOHC,4,Gasoline,11,8-Speed Automatic,SEL,SUV,4,White Pearl,Black,Front-wheel Drive
24,Hyundai,Santa Cruz,2024,33160,16V PDI DOHC,4,Gasoline,1,8-Speed Automatic,2.5L SEL,Pickup Truck,4,Blue Stone,Black,All-wheel Drive
25,Ford,Explorer,2024,40940,16V GDI DOHC Turbo,4,Gasoline,7,10-Speed Automatic,XLT,SUV,4,Star White,Ebony,Rear-wheel Drive
26,Jeep,Compass,2024,34084,DOHC,4,Gasoline,12,8-Speed Automatic,Limited,SUV,4,Baltic Gray Metallic Clearcoat,Black,Four-wheel Drive
29,RAM,2500,2024,58855,16V MPFI OHV,8,Gasoline,0,Automatic,Tradesman,Pickup Truck,4,Granite,Black,Four-wheel Drive
30,Nissan,Murano,2024,39867,24V MPFI DOHC,6,Gasoline,2,Automatic CVT,SV,SUV,4,White,Graphite,Front-wheel Drive
31,Ford,Transit-250,2024,53595,24V PDI DOHC Flexible Fuel,6,E85 Flex Fuel,10,Automatic,148 WB Medium Roof Cargo,Cargo Van,3,Oxford White,Dark Palazzo Gray,Rear-wheel Drive
32,Jeep,Grand Cherokee 4xe,2023,59547,16V GDI DOHC Turbo Hybrid,4,Hybrid,185,8-Speed Automatic,Trailhawk,SUV,4,Diamond Black,Global Black,Four-wheel Drive
34,Volkswagen,Jetta,2024,27175,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,5,8-Speed Automatic with Tiptronic,1.4T SE,Sedan,4,Pyrite Silver Metallic,Titan Black,Front-wheel Drive
36,Chevrolet,Silverado 1500,2024,58610,16V GDI OHV,8,Gasoline,0,Automatic,RST,Pickup Truck,4,Summit White,Jet Black,Four-wheel Drive
37,Kia,Seltos,2024,29640,16V MPFI DOHC,4,Gasoline,16,Automatic CVT,EX,SUV,4,Steel Gray,Black,All-wheel Drive
38,Chevrolet,Blazer,2024,43727,24V GDI DOHC,6,Gasoline,9,9-Speed Automatic,3LT,SUV,4,Copper Bronze,Jet Black,All-wheel Drive
